trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
470,False,"{'a': 0.25, 'e': 0.16306488694706261}",20,3,4.6646241540969555,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
471,False,"{'a': 0.25, 'e': 0.16010431155483126}",20,11,17.427891647231526,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.25, 'e': 0.1571422952248764}",30,16,28.46311236778845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.25, 'e': 0.15417886461532546}",20,12,15.603991832187148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.25, 'e': 0.15121404639703348}",20,0,2.075600129875081,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
475,False,"{'a': 0.25, 'e': 0.14824786725334482}",25,18,15.479438710298972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.25, 'e': 0.14528035387985133}",20,0,-55.16955747944555,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
477,False,"{'a': 0.25, 'e': 0.1423115329841538}",30,3,16.077561245113284,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
478,False,"{'a': 0.25, 'e': 0.13934143128561977}",25,11,16.723215662568244,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.25, 'e': 0.13637007551514496}",20,9,18.63225934027512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.25, 'e': 0.1333974924149108}",30,18,22.4023709800122,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.25, 'e': 0.13042370873814554}",20,12,15.31061547290598,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.25, 'e': 0.1274487512488818}",25,16,13.51610371370199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.25, 'e': 0.12447264672171729}",20,8,23.597894575890194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.25, 'e': 0.12149542194157227}",25,7,28.269804846875907,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.25, 'e': 0.11851710370345009}",20,12,15.157163822210267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.25, 'e': 0.11553771881219435}",30,13,26.934453786667166,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
487,False,"{'a': 0.25, 'e': 0.1125572940822494}",25,2,26.418498507817308,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
488,False,"{'a': 0.25, 'e': 0.10957585633741725}",25,10,-0.4954122158898464,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
489,False,"{'a': 0.25, 'e': 0.10659343241061792}",20,2,13.879569057447455,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
490,False,"{'a': 0.25, 'e': 0.10361004914364617}",20,10,19.022076006187675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.25, 'e': 0.10062573338693173}",20,14,0.7324251892652087,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
492,False,"{'a': 0.25, 'e': 0.0976405119992958}",20,4,12.866992160959384,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
493,False,"{'a': 0.25, 'e': 0.09465441184771117}",20,9,20.20287851450008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
494,False,"{'a': 0.25, 'e': 0.09166745980705862}",20,0,11.84393942465544,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
495,False,"{'a': 0.25, 'e': 0.08867968275988677}",25,17,3.007299847460962,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
496,False,"{'a': 0.25, 'e': 0.08569110759616845}",20,13,14.562292379392206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
